N,omega_max,dt_bound,dt_achieved,dt_times_omega,wall_s
12,773.4746593878721,0.003878601533467432,0.000925925925925926,0.7161802401739557,0.0015356650110334158
16,2391.992209186658,0.001254184686922572,0.000925925925925926,2.2148076010987574,0.0014670519740320742
20,5686.165565537808,0.0005275963152009019,0.0003048780487804878,1.7335870626639658,0.004595539998263121
24,11537.56344690303,0.0002600202385717129,0.00013333333333333334,1.5383417929204042,0.010747434047516435
28,21021.74268233262,0.00014270938643546908,6.622516556291391e-05,1.3921683895584518,0.021751239022705704
32,35411.04803871856,8.471932253232917e-05,3.654970760233918e-05,1.2942634517075498,0.03912982501788065
